ParkName,Region,State,Year,RecreationVisits
Acadia NP,Northeast ,ME,2020,2669034
Arches NP,Intermountain ,UT,2020,1238083
Badlands NP,Midwest ,SD,2020,916932
Big Bend NP,Intermountain ,TX,2020,393907
Biscayne NP,Southeast ,FL,2020,402770
Black Canyon of the Gunnison NP,Intermountain ,CO,2020,341620
Bryce Canyon NP,Intermountain ,UT,2020,1464655
Canyonlands NP,Intermountain ,UT,2020,493914
Capitol Reef NP,Intermountain ,UT,2020,981038
Carlsbad Caverns NP,Intermountain ,NM,2020,183835
Channel Islands NP,Pacific West ,CA,2020,167290
Congaree NP,Southeast ,SC,2020,119306
Crater Lake NP,Pacific West ,OR,2020,670500
Cuyahoga Valley NP,Midwest ,OH,2020,2755628
Death Valley NP,Pacific West ,CA,2020,820023
Denali NP & PRES,Alaska,AK,2020,54850
Dry Tortugas NP,Southeast ,FL,2020,48543
Everglades NP,Southeast ,FL,2020,702319
Gates of the Arctic NP & PRES,Alaska,AK,2020,2872
Gateway Arch NP,Midwest ,MO,2020,486021
Glacier Bay NP & PRES,Alaska,AK,2020,5748
Glacier NP,Intermountain ,MT,2020,1698864
Grand Canyon NP,Intermountain ,AZ,2020,2897098
Grand Teton NP,Intermountain ,WY,2020,3289638
Great Basin NP,Pacific West ,NV,2020,120248
Great Sand Dunes NP & PRES,Intermountain ,CO,2020,461532
Great Smoky Mountains NP,Southeast ,TN,2020,12095720
Guadalupe Mountains NP,Intermountain ,TX,2020,151256
Haleakala NP,Pacific West ,HI,2020,319147
Hawaii Volcanoes NP,Pacific West ,HI,2020,589775
Hot Springs NP,Midwest ,AR,2020,1348215
Indiana Dunes NP,Midwest ,IN,2020,2293106
Isle Royale NP,Midwest ,MI,2020,6493
Joshua Tree NP,Pacific West ,CA,2020,2399542
Katmai NP & PRES,Alaska,AK,2020,51511
Kenai Fjords NP,Alaska,AK,2020,115882
Kings Canyon NP,Pacific West ,CA,2020,415077
Kobuk Valley NP,Alaska,AK,2020,11185
Lake Clark NP & PRES,Alaska,AK,2020,4948
Lassen Volcanic NP,Pacific West ,CA,2020,542274
Mammoth Cave NP,Southeast ,KY,2020,290392
Mesa Verde NP,Intermountain ,CO,2020,287477
Mount Rainier NP,Pacific West ,WA,2020,1160754
National Park of American Samoa,Pacific West ,AS,2020,4819
New River Gorge NP & PRES,Northeast ,WV,2020,1054374
North Cascades NP,Pacific West ,WA,2020,30885
Olympic NP,Pacific West ,WA,2020,2499177
Petrified Forest NP,Intermountain ,AZ,2020,384483
Pinnacles NP,Pacific West ,CA,2020,165740
Redwood NP,Pacific West ,CA,2020,265177
Rocky Mountain NP,Intermountain ,CO,2020,3305199
Saguaro NP,Intermountain ,AZ,2020,762226
Sequoia NP,Pacific West ,CA,2020,796086
Shenandoah NP,Northeast ,VA,2020,1666265
Theodore Roosevelt NP,Midwest ,ND,2020,551303
Virgin Islands NP,Southeast ,VI,2020,167540
Voyageurs NP,Midwest ,MN,2020,263091
White Sands NP,Intermountain ,NM,2020,415383
Wind Cave NP,Midwest ,SD,2020,448405
Wrangell-St. Elias NP & PRES,Alaska,AK,2020,16655
Yellowstone NP,Intermountain ,WY,2020,3806306
Yosemite NP,Pacific West ,CA,2020,2268313
Zion NP,Intermountain ,UT,2020,3591254